family,tag,n,idx,decoder,method,dim,budget,f_opt,srate,nr,mean_gap,median_best,median_ftt
scp,,60,1,penalty,bpso,60,600000,10,0.4194,0.33105,0.074194,11,198630
scp,,90,0,penalty,mbpso,90,900000,15,1.0,0.02493,0.0,15,22434
scp,,90,0,penalty,mga,90,900000,15,0.0968,0.73928,0.113978,17,665348
scp,,60,2,penalty,bde,60,600000,10,0.3548,0.33655,0.083871,11,201930
scp,,90,1,penalty,ils,90,900000,15,1.0,0.01853,0.0,15,16677
scp,,60,2,penalty,bpso,60,600000,10,0.3871,0.24522,0.070968,11,147135.0
scp,,90,0,penalty,ga,90,900000,15,0.8065,0.6499,0.015054,15,584910
scp,,90,1,penalty,floor,90,900000,15,0.3226,0.42379,0.049462,16,381409.0
scp,,90,1,penalty,mbpso,90,900000,15,1.0,0.02877,0.0,15,25890
scp,,90,0,penalty,mbde,90,900000,15,0.129,0.85386,0.137634,17,768469.5
scp,,90,1,penalty,mga,90,900000,15,0.129,0.73578,0.167742,18,662205.0
scp,,90,1,penalty,ga,90,900000,15,0.7419,0.61853,0.019355,15,556680
scp,,90,2,penalty,ils,90,900000,15,1.0,0.01726,0.0,15,15533
scp,,90,2,penalty,floor,90,900000,15,0.0323,0.36032,0.101075,17,324289
knapsack,spanner,120,2,penalty,bde,120,1200000,-12323,0.0,inf,0.002859,-12290,
scp,,90,1,penalty,mbde,90,900000,15,0.0968,0.52868,0.146237,17,475810
scp,,90,2,penalty,mbpso,90,900000,15,1.0,0.05167,0.0,15,46499
scp,,90,0,penalty,bde,90,900000,15,0.5806,0.56038,0.03871,15,504345.0
scp,,90,2,penalty,mga,90,900000,15,0.0,inf,0.184946,18,
scp,,90,2,penalty,ga,90,900000,15,0.871,0.59013,0.010753,15,531120
scp,,120,0,penalty,ils,120,1200000,20,1.0,0.029,0.0,20,34796
scp,,90,1,penalty,bde,90,900000,15,0.4839,0.48187,0.04086,16,433680
scp,,90,2,penalty,mbde,90,900000,15,0.1613,0.90746,0.165591,17,816713
scp,,120,0,penalty,floor,120,1200000,20,0.0,inf,0.140323,23,
scp,,120,0,penalty,mbpso,120,1200000,20,1.0,0.08535,0.0,20,102423
scp,,90,0,penalty,bpso,90,900000,15,0.0968,0.301,0.146237,17,270900
